Sleep Quality,Productivity Score,Work Hours (hrs/day),Gender
3,8,8.80892009394567,Other
5,10,6.329833121584335,Female
7,10,8.506305742764315,Male
8,8,6.070239852800135,Other
10,8,11.374993880184936,Other
10,1,6.207993456180347,Male
3,7,4.592357213872723,Other
8,3,9.100459770841706,Female
7,3,4.887126566494651,Other
4,6,6.318011623310144,Female
7,9,5.8234813003355335,Female
10,8,6.585623456166042,Other
5,6,11.812919646661223,Female
10,7,8.741573791035147,Other
1,3,9.566502454327054,Male
7,9,6.728530808402068,Other
1,7,8.46634762885678,Female
1,9,8.645492971491638,Female
9,4,7.951149721467477,Female
6,3,11.784084438019566,Male
1,1,4.194527731451631,Female
3,3,10.809093372134855,Male
6,10,6.36232470735151,Female
2,9,8.090739190887502,Male
2,10,6.625221339797855,Female
5,5,5.726568219974745,Female
4,3,8.130402786409562,Female
9,2,11.321709821011844,Male
3,6,5.269171581139928,Other
4,10,7.188037875178988,Female
1,7,4.564549979203439,Female
3,1,7.088821102406194,Female
3,10,9.245781083045935,Male
8,4,11.74064441216198,Female
7,7,5.908774878322721,Female
6,9,7.113613429873305,Male
5,4,9.380147648616308,Other
5,9,4.936536131420847,Female
2,8,5.865824579396223,Female
3,10,7.39377607397581,Male
8,9,8.666950120777276,Female
5,4,8.430834275210566,Male
6,8,11.66961925926277,Other
10,9,4.621877095719879,Female
3,9,9.80575606710688,Male
2,9,9.996626399808576,Other
1,7,11.305326018061145,Male
1,1,5.829142444027702,Other
3,9,11.743790123518584,Female
6,2,8.86470279633508,Female
3,8,5.176587847432304,Other
3,6,5.215221548098355,Male
10,10,6.760661022579094,Other
10,9,10.39528319127234,Female
3,6,6.963776822331056,Female
3,2,8.256907882122526,Female
7,9,6.619978817423317,Male
6,3,8.692283477286072,Male
6,7,5.222873113474656,Female
2,6,10.92405700715184,Male
8,10,5.640620481195673,Other
6,3,6.565137537276114,Male
8,9,5.110598187536163,Other
2,3,5.449864529325281,Other
3,10,5.885533968519998,Other
3,9,8.021763120739834,Female
3,1,5.114176581307098,Other
6,1,11.014125094093997,Other
4,3,4.097624578544356,Other
8,10,7.696046429153061,Male
